,title,category
0,     민심은  이재명        안철수        윤석열      ,Politics
1,      여론조사서                         ,Politics
2,      지지율  이재명       안철수  윤석열 제치고  위  리얼미터 ,Politics
3,      지지율  이재명       안철수       윤석열      ,Politics
4,권성동 사무총장 사퇴  좌초한 국민의힘 살릴 사람 윤석열뿐 ,Politics
5,   측근  권성동 이어 윤한홍 사퇴  백의종군 ,Politics
6,권성동  사무총장 사퇴  내홍은 패배 지름길    달라질것 ,Politics
7,권성동  선대위 본부장직 사퇴     달라지는 윤석열 지켜봐달라 ,Politics
8,이재명  광주에서 국가 비전   통합 메시지 이낙연 동행,Politics
9,이재명  이낙연과 호남 방문 국가비전 국민통합위 회의,Politics
10,이재명 이낙연  손 맞잡고 호남  집토끼 잡기  나서,Politics
11,광주 찾는 이재명 이낙연과 새 대한민국 비전 제시,Politics
12, 세월호 에 빗댄 추미애  막말 비판에 글 수정,Politics
13,   이준석 세월호 선장  비유에 김정화  철없는 관종놀이 ,Politics
14,추미애  국민의힘  세월호  비유 논란    비판 커지자 수정,Politics
15,세월호 빗대   비판한       역대급 막말  발끈 이슈시개 ,Politics
16,진중권    홀로서기에      만 데려가겠다는 것 ,Politics
17,진중권  윤석열       아닌     만 데려가겠다 판단한 듯 ,Politics
18,이재명  추경  설  에도 가능   조   조가 목표 ,Politics
19, 전 국민 지원금  다시 꺼낸 이재명  설 전까지  인당    만원 맞춰야 ,Politics
20,경제계  노동이사제 국회 안건조정위 통과  부작용 우려 ,Politics
21, 공공부문 노동이사제  국회 소위 통과에 재계 반발    입법 중단  촉구,Politics
22,홍준표  지지율 추락 원인은   당대표 쫓아내는 건 대선 포기 ,Politics
23,홍준표  침몰하는 배 구멍 막을 생각 않고 선장 다투는꼴 ,Politics
24, 조원진  박근혜  정신적 문제는 아냐   TK도  에서 이탈  후보교체 안되면 단일화로  시선집중 ,Politics
25,조원진  박근혜 메시지  국민의힘 아사리판인데 뭐라 하겠나 ,Politics
26,권성동  김종인  불가피하게 지근거리서 못 모시게 돼 ,Politics
27,권성동  김종인 사퇴 결정 존중 이준석은 선거운동 매진하길 ,Politics
28,미  한국에 동결된 이란자금 관련  어떤 것도 합의 안 돼 ,Politics
29,외교차관  이란 핵협상 참가국 만나러 오스트리아 방문 동결자금 해법 모색,Politics
30,김종인  윤석열  그 정도 정치적 판단 능력이면 같이 못해 ,Politics
31,김종인     그 정도 정치적 판단 능력이면 뜻 같이 할 수 없다 ,Politics
32,  소통수석  부동산 공급 다른 정부에 뒤지지 않아    만호 기반 마련 ,Politics
