title,category
 스타일난다  삼성  연이은 완판 행진  갤워치  PXG 골프에디션 품절 ,IT
 넷플릭스 디즈니도 오는데    토종OTT  진흥법 지연 분통 ,IT
앞다퉈 블록체인 NFT 승선하는 게임사들  대세냐 거품이냐 ,IT
로옴  무선 충전 모듈 신제품 개발,IT
KT  영등포 구로 일대 통신장애  서울시 공사 중 광케이블 끊겨  종합 ,IT
 이슈분석 게임업계 강타한  메타버스 블록체인    패러다임 대전환,IT
정은경  중환자 증가세 빨라 일상회복  단계 어려울 수도 ,IT
엔씨소프트   분기 영업익  반토막 에도 장중 상한가 터치   왜 ,IT
카카오모빌리티  HD맵 기업  스트리스  인수,IT
 일문일답  디즈니 업은 LGU   타사 셋톱과 격이 달라 ,IT
 년만에 돌아온 CES  헬스케어의 미래 선보인다,IT
  G 데이터 무제한에 디즈니  무료  KT 제휴 요금제 출시,IT
샤오미  폴더블 아이폰 맞서 초저가 공세   만원대 LTE폰 출시,IT
폴더블폰 식물생활가전 등 총   개  CES 혁신상  휩쓴 삼성 LG전자,IT
 유통공룡 변신   GS리테일  마켓포 퀵커머스 차별화  첩첩산중 ,IT
 넷플이어 디플 손잡은 유플  통신사 OTT들 긴장하는 이유,IT
 진짜 겁나게 팔린다  갤워치  골프 에디션  이번엔  시간 만에 완판,IT
네이버가 투자한  에바 와  레티널  CES 혁신상 받아,IT
삼성전자  내년 상반기  갤럭시A    출시 예상 사양은 ,IT
아이폰   수리 쉬워진다 애플  SW 업데이트 예정,IT
애플 특허로  애플카  만들어 봤더니 ,IT
 넷플릭스 디즈니도 오는데    토종OTT  진흥법 지연 분통 ,IT
가계대출 관리에 시중은행   월 신용대출 줄어,IT
이마트   분기 매출  사상 최대  불구 영업익 감소,IT
자회사로 숨통 트인 더블유게임즈  M A 및 NFT 집중 종합 ,IT
 헬스케어포럼        국산 mRNA백신 임상에서 부작용 적어 바이오 산업 빠르게 재편될 것 ,IT
 사이언스N사피엔스  아인슈타인이 노벨상을 받은 업적  광전효과 ,IT
서울 구로 영등포구 일대 KT 인터넷 장애   시간만에 복구 완료,IT
KT 통신 장애 악재가 또 구로 영등포 일대 멈췄다,IT
엔씨소프트  리니지W 출시  일 만에 매출     억원 돌파,IT
디즈니플러스  가입자  억 천   만명 예상 밑돌아,IT
 항암 효과 제대로네  한 개에    원짜리 알약 뭐길래 ,IT
이스트소프트   Q 호실적 비결은 AI,IT
 출시 D    LGU    디즈니  로 넷플릭스처럼 재미볼까 종합 ,IT
자동주차에 불법자동탐지까지   전동킥보드  데이터 기술 로 안전 챙긴다,IT
LGU   디즈니 업고  찐팬  확보에 나선다,IT
 요소수 주유소에서만 팔아라  네이버  카카오도 대응 나선다,IT
  출격 앞둔 디즈니   가입자수 넷플릭스 절반 못 미쳐,IT
디즈니    진출에 코너 몰린 토종 OTT  진흥법  통과 촉구,IT
 차라리 핫도그나 접어라  조롱받던 이게 최고의 발명품 ,IT
 과세 대상도  인프라도 불확실 가상자산 과세  년 유예해야 ,IT
한국 보험사들 요양산업 진출 여부 초미의 관심 일본 보험사들 이미  큰손 ,IT
 이슈분석 국내 서비스 막힌 NFT 게임    초기 모바일 게임 거울 삼아야,IT
 이슈분석 NFT 게임 열풍  우려 시선도 존재,IT
제넥신 성장호르몬제  GX H      상업화 속도,IT
    EV 충전소    조원 사업 잡아라    국내  사 현지 공략,IT
샤오미    만원대 가성비폰  레드미    국내 출시,IT
 N 넥슨 넷마블 엔씨  신작 메타버스 신사업 드라이브,IT
삼성  갤럭시 Z플립      타임 선정  올해 최고 발명품 ,IT
SK텔레콤  UAM 공항셔틀 실증 성공     년 상용화 목표,IT
삼성 LG   CES       기술로 찢었다   혁신상   개   개 수상,IT
디즈니  독점 LGU   차별화  IPTV 성장 또 한번 노린다 종합 ,IT
 IR종합 블소  부진에  어닝쇼크  엔씨  돈버는 게임  뛰어든다,IT
이재명  가상자산 과세  년 늦추고 공제한도 대폭상향해야 ,IT
OTT협의회   골리앗  디즈니 상륙  사후약방문 될라 진흥법 통과 절실 ,IT
이재명 후보  가상자산 과세  년 유예    연내 법 개정될까,IT
 에어택시로 김포 강남   분  SKT 도심항공교통 실증,IT
   만원 LTE폰  샤오미의  레드미      시장 공략 가능할까,IT
 헬스케어포럼       윌리엄 헐 이뮤노믹 대표  mRNA 이은 차세대 백신은 항암 백신 ,IT
공급난에도  반도체 수출    월까지     억달러 돌파,IT
샤오미  LTE폰  레드미    국내 출시      만    원,IT
하늘 나는  공항셔틀  실증 성공      년 수도권 상용화 목표 ,IT
 분기 영업손실 증가에 시장서 힘 못받는 카카오페이,IT
크래프톤 신작  배틀그라운드  뉴스테이트      여개국 출격,IT
국내 연구진  인공지능으로  낙상 사고  막는 기술 개발,IT
 디즈니     일 출격 단독제휴 LG U   개방형 셋톱 KT SKB 누가 웃을까,IT
 분기 못해도 웃음 나오는 엔씨  리니지W 업고 NFT게임 예고 종합 ,IT
삼성전자  차세대    D 패키지 기술  에이치 큐브  개발,IT
 종합 보 디즈니  손잡은 LGU   월 만원대 개방형 셋톱박스와 격 다른 편의성 제공 ,IT
결함의 역발상이 태양전지 제조단가 낮춘다,IT
 돈 버는 게임  우리가 제일 낫다  진면목 드러낸 엔씨,IT
태양전지 제조단가 절반으로 낮춘다,IT
 IT돋보기   디즈니  IPTV 독점 제공하는 LGU   망 사용료 받는다 ,IT
 역발상 으로 태양전지 반도체 원가 절반으로 낮춘다,IT
타임지  올해 최고 발명품 에 선정된 삼성 갤럭시Z플립 ,IT
동물 진화에서도 이솝우화 속 거북처럼 느린 종이 승리,IT
치매는 비대면 진단  치료는 VR로    기술로 새 시장 연  세븐포인트원 ,IT
  G 무제한 디즈니가 월  만원부터   KT   디즈니  초이스  요금제 출시,IT
 블소   부진 엔씨소프트   분기  어닝쇼크 ,IT
 SKB  만나서 얘기하자    발언 직후 출국한 넷플릭스 부사장,IT
갤Z플립   미국 타임지  올해 최고의 발명품 으로 선정,IT
대형택시에  수행기사 까지   판 커지는 택시호출,IT
 분기 영업손실 증가에 시장서 힘 못받는 카카오페이,IT
LGU   디즈니  IPTV독점제휴 월  만 천   원 결합요금제 종합 ,IT
삼성전자  이달   일 이벤트서 엑시노스     발표 안 한다,IT
 엔씨코인 나올까   게임 아이템 원조  엔씨도  돈버는 게임  뛰어든다,IT
 헬스케어포럼       유경호 한림대성심병원장     명 대기환자   초만에 배정완료 ,IT
엔씨   리니지W 로 부활 신호탄 NFT 게임 뛰어든다 종합 ,IT
 분기 실적 좋았는데도 박스권에 갇힌 KT 주가,IT
 자율주행 내비 고도화  카카오모빌리티  HD맵 기업 스트리스 인수,IT
게임업계  넷플릭스 게임 서비스  IP 활용 전략 눈길 ,IT
    년 옛소련 유리 가가린 이후    번째 우주비행사 탄생,IT
LGU   디즈니  IPTV 독점제공  타사 셋톱과는 격이 달라  일문일답 ,IT
SK바이오팜  CNS 신약 파이프라인 중국 판권 기술수출,IT
삼성 LG  세계 최대 가전쇼CES     혁신상 휩쓸어    기술이 생활상 바꾼다 ,IT
샤오미    만원대 LTE폰으로   시장 공략  레드미    국내 출시,IT
 ICT시사용어 대체불가토큰 NFT ,IT
SK바이오팜    법인 설립  개 CNS 약물 판권 기술수출,IT
 NFT 국내 게임사   컴투스의  블록체인 메타버스 는 어떤 모습일까,IT
토종 OTT  규제 풀고 적극적인 정책 지원 해달라 ,IT
 월  만    원에 IPTV 디즈니 까지 ,IT
 김포 강남 에어택시로 날면   분  SKT  도심 항공모빌리티 실증 성공,IT
삼성전자  반도체 패키징도  혁신     D 패키징  H 큐브  개발,IT
오늘부터 유튜브  싫어요  수 사라진다,IT
삼성  반도체 패키징 솔루션  H 큐브  개발 HBM  개 탑재,IT
HBM  개 한번에   삼성전자 선보인    D 패키징  H Cube 는 무엇 ,IT
삼성전자  차세대 반도체 패키징  H 큐브  개발  CPU 하나에 메모리  개 이상 묶어,IT
 스마트블록 으로 유튜브 인스타 대응 나선 네이버  구글도 ,IT
한화 손잡은 SKT  UAM 공항셔틀 실증 성공 현대차 KT 연합군과 경쟁 격화,IT
 김포공항서 강남까지   분  SKT  UAM 수도권 공항셔틀 실증 성공,IT
SKT   도심항공교통  통신기술 시연,IT
반도체 수출   월 누적     억불 돌파   월 ICT 수출액   개월째 증가,IT
폭스콘    전기차 공장 인수  아이폰 다음은  ,IT
SK바팜  작년보다 매출  배 증가   중국에 기술수출 법인 설립 ,IT
박셀바이오  국제학회서 고형암 CAR T 치료제 효능 발표,IT
 헬스케어포럼       의료 미래학자 버탈란 메스코  코로나  의료산업에 큰 변화 핵심은 기술 아닌 사람 ,IT
 증시이슈  게임빌 주가     급등 NFT 사업 기대감에 어닝 서프라이즈 겹쳐,IT
엔씨   내년 NFT 결합 게임 출시  돈 버는  리니지  나오나 종합 ,IT
 오징어게임  유튜브 동영상    억뷰 돌파  왕좌의 게임  제쳐,IT
 이젠 때가 됐다  국회 보좌관 출신 영입 나선 가상자산거래소들,IT
카카오모빌리티  정밀 지도 만드는  스트리스 와 연내 조직통합,IT
 종합 디즈니  손잡은 LGU   월  만원대에 IPTV 인터넷까지 KT도 모바일 요금제,IT
 넷플릭스 디즈니에 다 내주고 통과시키나    OTT  분통   전문 ,IT
 종합   리니지W  앞세워  Q 급등 예고한 엔씨 P E도 진출,IT
 년새  배 커진 EUV 산학협력체    데이터 축적 계획 ,IT
ETRI  AI기반 실시간 낙상 예측기술 개발,IT
당근마켓  요소수 불법 거래 강경 대응 나선다,IT
 칼럼  신약 개발이라는 단어 앞에 K자를 붙이려면,IT
유튜브 영상에  싫어요  숫자 없앤다,IT
 컨콜  엔씨  한국 대만 홍콩  위 리니지W 일평균 매출    억원,IT
KT  디즈니  제공하는 무선 결합 요금제  디즈니  초이스  출시,IT
넷플릭스에 밀린 디즈니    상륙으로 돌파구 찾을까,IT
디즈니  상륙 하루 앞두고 OTT 협의회  시장 다 내줄판 ,IT
 이 어려운 걸 삼성이 해냈다    최고 발명품 에 선정된 제품,IT
수능 다음날 월식  그날은 마음 쉬어가길 ,IT
로옴  소형 박형 기기의 무선 충전화 실현이 용이한 무선 충전 모듈 BP      BP     개발,IT
엔씨소프트  분기 영업익 반토막    억원,IT
미 법원   다음달  일까지 앱 외부결제 허용  애플 항소,IT
 SKB 만나자더니   황당한 넷플릭스 부사장  무시하고 바로 출국,IT
화성 암석 갈았더니 삼각형 무늬가 나왔다   여기는 화성 ,IT
머스크  트위터 투표대로 테슬라 지분   억달러 매각,IT
카카오모빌리티  HD맵 스타트업  스트리스  인수,IT
노인 낙상위험  AI 로 확 줄인다,IT
LG전자  차량용 AR 소프트웨어 별도 판매 시작한 배경은,IT
LGU  IPTV서 디즈니  본다   결합 요금제   만    원 ,IT
액정닦는 천 애플은  만    원  삼성  우린 공짜  IT썰 ,IT
  만원 스마트폰 내민 샤오미    고객 위한 레드미   ,IT
애플tv  디즈니 까지  시장  다 내 주고 진흥법 통과할 건가,IT
삼성 갤Z플립   타임지  올해 최고 발명품 ,IT
KT   디즈니플러스 초이스  모바일 요금 출시   G 무제한 쓰면 무료 ,IT
부광약품  전립선암 개량신약  SOL        특허등록,IT
샤오미    만원대 보급형 스마트폰  레드미    국내 공식 출시,IT
하플사이언스  베링거인겔하임 출신 최고의료책임자 영입,IT
 주춤하는 리니지 힘없는 블소   엔씨의 이유있는 글로벌 도전 종합 ,IT
전기트럭 업체 리비안  상장 첫날 GM 포드 시가총액  추월 ,IT
일론 머스크  테슬라 주식    만주 팔았다,IT
증권가  컴투스 목표가 줄상향 장중 신고가 경신 종합 ,IT
요양산업에 벤처 투자금 몰린다  저출산 위기지만  고령화는 기회 ,IT
카카오  글로벌 콘텐츠  시장 본격 시동  차별화 전략은 ,IT
 IR  엔씨소프트  프로젝트TL 포함한 모든 신작  글로벌 동시 출시 목표 ,IT
LGU   내일부터  디즈니   IPTV 독점 제공 월 만원대 결합 요금제,IT
