title,category
비트코인  만달러 붕괴 폭락 이유  가지 종합  ,World
한국 경찰청장 독도 방문    정부  강력 항의  우리 영토 지킬 것 ,World
 톈안먼시위는 정치풍파  항미원조는 위대한 승리        차  역사결의  전문 공개,World
글래스고 조약 일장춘몽   다시 석탄이 타오른다,World
 차익 실현  비트코인     가까이 폭락 암호화폐 일제 급락 종합 ,World
  대만해협 위협     불장난하다 타 죽어     분간 할 말 다 한 미중 정상,World
일본 정부  한국 경찰청장 독도 방문에  강력히 항의  억지주장 되풀이,World
비트코인     가까이 폭락   만 달러선 붕괴 상보 ,World
 베이징 연결  타이완 문제만큼은 중국 요구 받아졌나,World
 워싱턴 연결  시진핑과 회담으로 원하는 결과 얻었나,World
미중  첫 화상 정상회담 이견 드러내면서  윈윈  모색,World
북한의 일상은 한국 오는 주북  대사의 트윗은 계속된다,World
일본 코로나 신규감염    명 사흘째    명대 이하   총    만    명,World
 현상변경 반대   불장난하면 타죽어  미중 정상  대만 대치 종합 ,World
당선  시간 만에     만 원 받은   초선 의원    명,World
재확산에  추가 접종  속도  성인은 원하면 누구나 ,World
 지구 맨틀 비밀 풀 광물  다이아몬드 속에서 발견 ,World
미국 인플레이션 우려 커지자 곳곳서  테이퍼링 속도 높여라 ,World
적대감 완화 대화 물꼬 텄지만  돌파구는 없어 ,World
우간다 수도 캄팔라서 두차례 폭발   명 부상,World
우간다 수도 캄팔라서 두차례 폭발   명 부상,World
러  위성 요격 미사일 시험에    등  위험한 행동  맹공,World
시작은  화기애애  대만 무역 등 합의 없이  봉합 ,World
   분간 첫 미 중 화상회담  공존 협력  공감대,World
김주하 앵커가 전하는   월   일 종합뉴스 주요뉴스,World
미일  남중국해서 첫 잠수함 연합훈련   중국 군사기지화 견제,World
미 중 정상     분 화상 회담 대만 문제 두고  충돌 ,World
 이슈체크     첫 화상 정상회담 미중관계 개선 계기될까 ,World
미 중 공존 힘든 이유  바이든 시진핑 상호 전략 근본부터 달라,World
 단독     입국규제 완화 후 한국발 항공편 입국 정원은 되레 축소,World
  CDC    여행경보 최저단계로 조정    종전  단계 그대로 유지,World
 칼날  숨긴 첫 대면   대만 독립 지지 않아   제로섬 게임 말자 ,World
초속  km 파편     개 돌진에 우주정거장  혼비백산 ,World
 중국 일본 태국 고위관계자  미얀마 쿠데타 수장 만났다  종합 ,World
태국 반정부시위 속 왕은 후궁 개   마리와  독일 호캉스 ,World
영국  테러위협 단계  심각 으로 상향 리버풀 택시 테러에  발칵 ,World
 세상만사  세르비아 진출해 대기오염 쏟아내는 중국 최대 철강기업,World
 세상만사  밀렵꾼 덫 때문에 코 절단한 새끼 코끼리,World
벨라루스  난민 갈등  파국 치닫나  유럽 정상들  해법 모색  전방위 외교전,World
 미얀마 군부 비판    언론인   징역   년형 선고  사흘 만에 이례적 석방,World
우간다 수도 캄팔라서 두차례 폭발   명 부상,World
 벌금    만원  백신 미접종자 외출 금지령 떨어진 나라,World
    차 접종  다음 달 시작   빨라진 일정에 지자체 당혹,World
중국  중미  양국관계 중요성 인식하며 신냉전 반대 공감대 ,World
인도  집단면역 생겼나 신규 확진자  개월 만에 네자리 수,World
러시아  미사일로 위성 폭파   우주정거장 우주인 한때 대피,World
   가드레일 필요     마지노선 지켜야   충돌 방지 공감  바이든 시진핑 첫 정상회담 ,World
대만 무역갈등  할말만 하고 끝난    정상 첫만남  바이든 시진핑 첫 정상회담 ,World
소독한다더니 웰시코기 때려죽인 중국 방역요원,World
일촉즉발      바이든 시진핑 등판으로 정면 충돌은 피해갔다,World
흑인 노예    명 소유했던    건국의 아버지  동상  철거 결정,World
인구   만명 중국 루이리  한달새 코로나    만회 검사,World
 딸을 위해 제가 손자를 출산합니다    세 친모 대리임신,World
바이든  대만 현상변경 반대  시진핑  선 넘을땐 조치 ,World
외신들  미중 과열 긴장은 완화 돌파구는 없어 ,World
바이든     불공정 무역 관행     안보 이용  기업 때리지말라 ,World
바이든    여행 때처럼 만나길  시진핑  오랜 친구 보게돼 행복 ,World
바이든은  인파이터   시진핑은  아웃복싱    돌파구 없이 빙빙 돌았다,World
 대선에 뛰어든 극우언론인  아이돌 인기  롤모델 트럼프 ,World
웃으며 시작했지만   시간 동안 할 말 다 한 바이든과 시진핑,World
미중 첫 정상회담    분 시작은  화기애애  내용은  강경 ,World
미중  관계 개선 공감대 형성했지만 실제 효과는  글쎄 ,World
웃는 얼굴로 손 흔들었지만 거기까지 본론 직행한 바이든 시진핑,World
이집트 폭풍우 뒤 전갈 수백마리 급습 최소    명 병원 신세,World
인플레 공포에 따로 놀던 금 달러 함께 뛴다,World
 총 상금   억     유튜버   오징어게임  현실판 세트장 공개,World
 ESG 모범생 이라던 유니레버  홍차 매각하는데 ESG가 발목,World
사우디 실세 왕세자  자기 이름 딴  비영리 도시  만든다,World
사망한 독재자  세들의 권력욕 마르코스 카다피 아들 대선에,World
정면충돌 피했지만 바이든 시진핑  인권 무역 놓고    분  평행선 ,World
 당선 축하해줘서 감사   오랜 친구   화면으로 손 흔들며 인사,World
영국 테러경보  심각  문 잠근 택시 기사는  영웅 ,World
화이자 모더나  백신 공급으로  초에    만 원 번다,World
코로나 겨울철 대유행 조짐에   유럽  부스터샷  확 늘린다,World
   러  위성요격 미사일 시험 무책임  맹비난,World
