title,category
 주식 팔까   물은 머스크  결국 지분   억 달러 팔았다,World
CNBC  머스크  테슬라   만주  조    억원어치 매각 ,World
미국   월 물가     로 급등 바이든 연준 긴장,World
프랑스식 톨레랑스 파리 동성애 나이트클럽  공적자금으로 회생,World
   헝다  밀린 달러 채권 이자 지급 디폴트 또 겨우 피한 듯 ,World
     기후변화 대응 위해 협력    깜짝 발표 ,World
메타  기업용 협업플랫폼  워크스페이스 와 MS 팀스 통합 ,World
세금이 얼마길래 머스크  테슬라 주식   조  팔았다,World
러시아  서방 벨라루스 갈등 속 전략폭격기 띄워 무력시위,World
정상회담 앞둔 미중  기후변화 합의  깜짝훈풍  기싸움은 계속 종합 ,World
이재명  일본은 우방국가인가  발언에    일본에 불신감 보였다 ,World
    광물자원 전쟁  아킬레스건 꼬집는다,World
  년만에 최고   소비자물가 다급해진 바이든  상황 역전 최우선 과제 ,World
    국영기업의 대출 규제 완화할듯  부동산업계 구조조정  신호탄 ,World
칠레  아타카마 사막의  옷 언덕  환경 파괴 우려,World
일본서 하늘 나는 오토바이 개발 비화 상용화는 ,World
  헝다  디폴트 또 모면했다    일 데드라인 달러채 이자 지급 ,World
 주식 팔까   트위터 설문했던 머스크  테슬라 지분  조    억원어치 진짜 팔았다,World
헝다     억달러 이자 지급 디폴트 세 번째 위기도 모면,World
     팔까   물었던 머스크  테슬라 주식    조원어치 팔아,World
보우소나루 브라질대통령  재선노려 중도 자유당 입당,World
  과 멀어지는  유럽  대만과 더 가까워지나,World
미 소비자물가   년만 최대폭        예측 어렵다 ,World
 김지수의 글로벌브리핑  미중  정상회담 앞두고 기후위기 협력  깜짝  선언  ,World
미 신생 전기차 회사  리비안    빅   시총 넘었다  인더머니 ,World
CNBC  머스크  테슬라   만주    조원어치 매각  상보 ,World
일론 머스크  진짜로  테슬라 주식  조    억원치 팔았다   ,World
 테슬라 주식 팔까  투표한 머스크  진짜 팔았다,World
어린이를 제물로 인신공양 페루서 연이어 고대 유적 발굴,World
전세계 물가 비상   미국   년만에 최대 중국 역대 최대폭 증가,World
   러시아에 경고 메시지     우크라 국경 인근 군사행동 면밀히 주시 중 ,World
 정부  머크 코로나   경구용 치료제    만명분 구매 합의,World
떠들던 대로 테슬라 주식 판 머스크 차익은  조  천억,World
빈 매춘업소서 백신 접종 시 여성 선택해   분간 성 서비스 무료,World
미 국무부 차관보  미래 바라봐야     한일관계 개선 촉구,World
미 소비자물가   년만 최대폭        예측 어렵다 ,World
  헝다  유예시한 달러채 이자 일부 지급  디폴트 모면에 안간힘,World
  법무부  장애인에 대기 요금 얹어 부담 줬다  우버 제소,World
 헝다 또 디폴트 모면   일 데드라인 달러채 이자 지급 ,World
 태양신 축제 에 독성거품으로 뒤덮인 강에 뛰어든 주민들,World
  소비자물가 추가 상승 우려      월에      될수도 ,World
테슬라 자리 노리는 리비안  데뷔 첫날 포드 GM 넘어섰다,World
 모더나의 배신   백신 특허 단독 출원해  정부와 갈등,World
 제 의 테슬라  리비안 상장 첫날 빅  넘어섰다,World
 테슬라 대항마  리비안 상장  시총    조원 포드 제쳐 종합 ,World
 오징어게임  단  주 만에  왕좌의 게임    년 걸쳐 세운 기록 깼다,World
      세   만 명 접종   이스라엘도 곧 어린이 백신 접종,World
미국서  처방 유명 약품 으로 위조된 불법 마약 유통 급증,World
미 동아태 차관보 방한 한 미 이견  종전선언  논의 주목,World
미 소비자물가   년 만에 최대 폭 상승 휘발윳값  년 새     ,World
  과 화해하려는 한국 정부   북한 인권단체 운영 어렵게 해 ,World
 전문가  코로나 재유행  조치 없으면 추가   만명 사망할 수도 ,World
 뉴스딱   강아지가 아니었다고   이웃들 떨게 한 반려견의 정체,World
미중  깜짝  공동선언 발표 COP   마지막날 반전 종합 ,World
쿠바  미국이 반정부 시위 선동 페이스북도 도와  주장,World
테슬라 대항마  리비안  시총     억달러   포드  GM 등  빅   넘었다,World
